ids,labels,parents
AI_Intro,"引言",
AI_Definition,"介绍人工智能的定义和概念",AI_Intro
AI_Interest,"引发对人工智能的兴趣",AI_Intro
AI_History,"人工智能的历史与演进",
AI_Development,"回顾人工智能的发展历程",AI_History
AI_Milestones,"强调人工智能的里程碑事件",AI_History
AI_CoreTech,"人工智能的核心技术",
AI_MachineLearning,"机器学习和深度学习的基本原理",AI_CoreTech
AI_MLConcepts,"机器学习的概念和算法",AI_MachineLearning
AI_DeepLearning,"深度学习的原理和应用",AI_MachineLearning
AI_NLP_CV,"自然语言处理和计算机视觉的应用",AI_CoreTech
AI_NLP,"自然语言处理的技术和应用",AI_NLP_CV
AI_CV,"计算机视觉的技术和应用",AI_NLP_CV
AI_Applications,"人工智能在不同领域的应用",
AI_Medical,"医疗保健领域",AI_Applications
AI_Example1,"例子1：基于图像识别的皮肤病诊断系统",AI_Medical
AI_Example2,"例子2：智能辅助手术系统",AI_Medical
AI_Finance,"金融和银行业",AI_Applications
AI_Example3,"例子1：欺诈检测系统",AI_Finance
AI_Example4,"例子2：智能客服机器人",AI_Finance
AI_Manufacturing,"制造业和物流行业",AI_Applications
AI_Example5,"例子1：智能供应链管理",AI_Manufacturing
AI_Example6,"例子2：机器人自动化生产线",AI_Manufacturing
AI_Challenges,"人工智能的挑战与道德考量",
AI_DataPrivacy,"数据隐私和安全性的问题",AI_Challenges
AI_JobImpact,"人工智能对就业和社会结构的影响",AI_Challenges
AI_Ethics,"伦理和道德问题的讨论",AI_Challenges
AI_Future,"人工智能的未来发展趋势",
AI_Prospect,"探讨人工智能在未来的前景",AI_Future
AI_Impact,"预测人工智能可能带来的变革和影响",AI_Future
